Site;Name;Number_name;MAP;MAT;AI;Soil_Temp;Water_activity;Water_content;SOM;pH;TOC;TC;TN;C_N;NH4;PO43;SO42;Sand;Silt;Clay;Litter;L_TC;L_TN;BB;FB;alpha;beta;xyl;cbh;gla;fos;leu;phe;Respiration;altitude;landcover;s275.295;s350.400;SR;E2.E3;E3.E4;E4.E6;FI;BIX;Peak_A;Peak_C;Peak_M;Peak_T;Peak_B;HIX;LTC_LTN;xylcbh;alphabeta;Aridity
SP06;G-SP6-e;120-SP06-E;859.2783;9.1914;0.7;14.7;0.992;30.92;0.3821;6.32;0.2257;0.2352;0.0141;16.706;119.14;62.11;94.2;0.4838;0.1138;0.4025;646.23;0.0138;0.4611;0.0231;12.5344;0.0128;0.0895;0.02;0.011;0.0555;0.5394;0.6049;3.8675;0.02589573;1096;Deciduous Broadleaf Forests;-0.018944488;-0.021047026;0.900102825;6.01567412;6.23786056;29.9015137;1.52556106;0.391460962;3.50257874;2.37159605;2.18861244;0.889205277;0.573683787;7.48915977;0.029928432;0.031;0.1023;0.3
SP07;G-SP7-a;121-SP07-A;1003.9939;9.4308;1;13.75;0.989;33.5;0.1154;4.53;0.0549;0.0549;0.0044;12.5675;24.71;17.42;18.19;0.2105;0.474;0.3155;1285.61;0.0191;0.4779;0.00548;0.7325;0.001;0.0057;0.017;0.0029;0.0161;0.1309;0.0136;0.9693;0.03185012;803;Deciduous Broadleaf Forests;-0.037150944;-0.027178221;1.36693805;15.4409923;13.5398482;-5.8692327;1.96562259;0.568042099;2.58573525;1.33329458;1.13243423;0.589138779;0.53945437;8.30404743;0.03996652;0.0199;0.0067;0
SP07;G-SP7-b;122-SP07-B;1003.9939;9.4308;1;13.725;0.99;43;0.1856;4.53;0.0908;0.0908;0.0065;13.9892;59.67;27.47;41.53;0.2105;0.474;0.3155;1512.34;0.0137;0.4559;0.00944;0.9011;0.0037;0.0175;0.0075;0.0014;0.0588;0.7705;0.0245;2.539;0.04102674;803;Deciduous Broadleaf Forests;-0.031580349;-0.025132395;1.25655949;11.6155934;10.6249803;-107.88619;1.76270915;0.54592619;1.53616646;0.909303005;0.80565931;0.415744451;0.330812166;6.28946125;0.03005045;0.0089;0.0212;0
SP07;G-SP7-c;123-SP07-C;1003.9939;9.4308;1;13.8;0.991;43.71;0.1879;4.21;0.0944;0.0944;0.0068;13.9174;44.4;34.05;43.62;0.2105;0.474;0.3155;1335.7;0.0148;0.4697;0.0165;0.8645;0.0045;0.0224;0.0141;0.0025;0.0712;0.7064;0.0427;1.8083;0.05231782;803;Deciduous Broadleaf Forests;-0.024817947;-0.024097593;1.02989318;8.8095105;8.93538936;-175.152501;1.77476859;0.494890208;2.45851082;1.45412094;1.25653721;0.579387186;0.274043831;9.60394119;0.031509474;0.0166;0.0269;0
SP07;G-SP7-d;124-SP07-D;1003.9939;9.4308;1;14.125;0.99;35.68;0.1442;3.82;0.069;0.069;0.005;13.8317;35.13;21.83;20.32;0.2105;0.474;0.3155;1688.27;0.0137;0.4821;0.00884;0.6748;0.0017;0.0098;0.015;0.0027;0.0328;0.6103;0.0175;3.0098;0.03588999;803;Deciduous Broadleaf Forests;-0.028259443;-0.025733363;1.09816364;10.345117;10.4749762;-14.1015814;1.77189633;0.525059879;2.16695134;1.31773262;1.16177461;0.521193315;0.25562614;8.82492609;0.028417341;0.0177;0.0115;0
SP07;G-SP7-e;125-SP07-E;1003.9939;9.4308;1;14.075;0.991;28.46;0.288;4.02;0.0386;0.0386;0.0029;13.1156;27.94;11.73;21.55;0.2105;0.474;0.3155;919.93;0.015;0.4805;0.00366;0.4403;0.0015;0.0104;0.0056;0.0013;0.0194;0.4386;0.0132;0;0.040271168;803;Deciduous Broadleaf Forests;-0.02451447;-0.024340471;1.00714854;9.12762679;9.2742759;173.652141;1.73929319;0.519727755;2.79619044;1.66239425;1.48501216;0.71266115;0.285381062;9.04860375;0.031217482;0.0069;0.0119;0
SP08;G-SP8-a;126-SP08-A;1361.6559;12.1779;1.33;15.175;0.995;39.33;0.1432;3.89;0.0728;0.0728;0.004;18.2889;13.94;27.56;28.09;0.4375;0.4245;0.138;472.04;0.0121;0.4894;0.00754;1.6716;0.0044;0.0362;0.0125;8.00E-04;0.0842;1.0662;0.0232;0.4582;0.04457829;450;Mixed Forests;-0.023722748;-0.023705035;1.001472395;8.425185103;8.808465693;-147.5789715;1.868320885;0.631085898;3.159011093;1.964900005;1.661521463;0.716598159;0.39144586;9.429962193;0.024724152;0.0133;0.0406;-0.33
SP08;G-SP8-b;127-SP08-B;1361.6559;12.1779;1.33;15.075;0.992;38.13;0.1221;3.93;0.054;0.054;0.0037;14.5081;19.78;27.8;26.25;0.4375;0.4245;0.138;352.49;0.0086;0.4767;0.00453;0.702;0.0015;0.0223;0.0179;1.00E-04;0.0722;0.7507;0.0276;6.7846;0.03876853;450;Mixed Forests;-0.027036742;-0.023497571;1.15061858;9.04840533;8.95998674;50.0734872;1.96302382;0.683502147;3.24054538;2.04733161;1.72636251;0.758708505;0.520639532;9.11456914;0.018040696;0.018;0.0238;-0.33
SP08;G-SP8-c;128-SP08-C;1361.6559;12.1779;1.33;15.6;0.991;45.24;0.1671;3.78;0.0871;0.0871;0.0052;16.7823;31;31.1;48.82;0.4375;0.4245;0.138;570.2;0.0131;0.4862;0.00737;1.1817;0.0068;0.0271;0.0099;9.00E-04;0.0933;1.075;0.0324;2.2053;0.04984947;450;Mixed Forests;-0.024055928;-0.023635792;1.01777544;8.56090189;8.92423019;-663.553115;1.87847789;0.644067339;2.94347553;1.83382336;1.55258476;0.685812507;0.382705514;9.17240637;0.026943645;0.0108;0.0339;-0.33
SP08;G-SP8-d;129-SP08-D;1361.6559;12.1779;1.33;15.65;0.99;37.11;0.1295;3.55;0.0655;0.0655;0.0042;15.5261;14.39;26.94;22.57;0.4375;0.4245;0.138;391.78;0.0099;0.4909;0.0072;0.664;0.0066;0.043;0.0307;0.0037;0.4808;1.4181;0.0217;4.4391;0.03327663;450;Mixed Forests;-0.02140789;-0.024076602;0.889157429;7.96131934;8.85258908;-22.0219867;1.79232;0.606989386;3.16461245;1.94003837;1.62698228;0.690723214;0.335809038;9.7109783;0.02016704;0.0344;0.0496;-0.33
SP08;G-SP8-e;130-SP08-E;1361.6559;12.1779;1.33;15.375;0.991;29.52;0.0857;3.74;0.0394;0.0394;0.0027;14.5351;16.08;24.69;30.85;0.4375;0.4245;0.138;606.08;0.0109;0.4959;0.0075;1.054825;0.001;0.0071;0.0052;0.0015;0.0335;0.708;0.0756;0.9812;0.04161823;450;Mixed Forests;-0.02239043;-0.023610176;0.948338129;8.13011385;8.49705676;45.1857286;1.83946183;0.589784721;3.28741101;2.03840668;1.7401563;0.731148411;0.326629354;9.72189496;0.021980238;0.0067;0.0081;-0.33
SP09;G-SP9-a;131-SP09-A;314.2399;17.0955;0.18;30.925;0.718;2.14;0.0278;7.53;0.0094;0.0912;9.00E-04;98.0108;73.75;6.51;19.82;0.5105;0.305;0.1845;2.63;0.0058;0.4677;0.00184;0.2056;0.0055;0.0079;0.0028;0;0.0034;0.0455;0.0316;4.8705;0.00260852;195;Savannas;-0.019147991;-0.016710815;1.1458442;5.82519394;5.09624819;7.90557357;1.72030142;0.522507316;3.67911066;2.00833237;1.87461677;1.0087597;0.855033585;6.43155544;0.012401112;0.0028;0.0134;0.82
SP09;G-SP9-b;132-SP09-B;314.2399;17.0955;0.18;30.975;0.756;3.41;0.0354;7.64;0.0139;0.0703;0.0013;52.8195;5.25;6.03;22.11;0.5105;0.305;0.1845;89.75;0.0042;0.4674;0.00157;0.3541;0.0078;0.0209;0.008;2.00E-04;0.004;0.081;0.0793;6.5391;0.00418969;195;Savannas;-0.016671089;-0.013792577;1.20870015;4.6016975;3.90995842;6.12274055;1.58758578;0.476423786;3.57171288;1.90719381;1.83706107;1.27999731;0.915731891;5.78455706;0.008985879;0.0082;0.0287;0.82
SP09;G-SP9-c;133-SP09-C;314.2399;17.0955;0.18;29.625;0.84;3.14;0.041;7.53;0.0158;0.0948;0.0016;59.981;4.67;7.85;18.77;0.5105;0.305;0.1845;563.45;0.0097;0.4759;0.00206;0.5558;0.013;0.0282;0.0417;0.0111;0.0065;0.1013;0.3472;3.1594;0.00439531;195;Savannas;-0.015170028;-0.013704874;1.10690748;4.46060584;3.90195957;6.16761478;1.52270844;0.454282438;5.2545154;2.76768023;2.65806979;1.50477791;1.03016277;7.06559176;0.020382433;0.0528;0.0412;0.82
SP09;G-SP9-d;134-SP09-D;314.2399;17.0955;0.18;33.275;0.895;3.1;0.0246;7.65;0.0118;0.0883;0.0011;81.7593;3.8;5.96;18.18;0.5105;0.305;0.1845;49.88;0.006;0.462;0.000966;0.1747;0.0108;0.0197;0.036;0.0115;0.0037;0.0843;0.037;4.3965;0.00103324;195;Savannas;-0.019809674;-0.019839731;0.998485;6.18550922;6.01624452;16.4689337;1.59390953;0.487303167;3.88899148;2.0853247;2.01012044;1.02192672;0.652528087;7.74037065;0.012987013;0.0475;0.0305;0.82
SP09;G-SP9-e;135-SP09-E;314.2399;17.0955;0.18;32.8;0.697;1.78;0.0189;7.66;0.0057;0.0897;6.00E-04;157.4035;4.37;3.1;14.64;0.5105;0.305;0.1845;44.75;0.0102;0.4733;0.00177;0.1559;0.0029;0.0069;0.0062;0.0019;0.0025;0.0447;0.0569;3.9932;0.00176038;195;Savannas;-0.015184752;-0.014833615;1.02367169;4.68617586;4.27964649;7.12912609;1.62445487;0.483376313;3.25531185;1.88516629;1.69388771;0.972509648;0.697013811;6.39753694;0.021550813;0.0081;0.0098;0.82
SP10;G-SP10-a;136-SP10-A;304.0818;16.8649;0.18;42.325;0.51;0.71;0.0166;7.72;0.0045;0.0241;5.00E-04;46.3846;33.95;3.96;23.96;0.7655;0.1715;0.063;15.42;0.0063;0.3811;0.00159;0.1229;0.017;0.0592;0.0181;0.0023;0.0052;0.0582;0.0366;2.902;0.041867;278;Grasslands;-0.01546302;-0.012224489;1.280084633;4.364093228;3.553713428;6.5339559;1.619740645;0.514970353;1.400283443;0.718102786;0.700101554;0.742980546;0.496835799;4.268314098;0.016531094;0.0204;0.0762;0.82
SP10;G-SP10-b;137-SP10-B;304.0818;16.8649;0.18;44.025;0.516;0.63;0.0162;7.62;0.0051;0.0163;5.00E-04;30.2593;44.44;4.96;16.07;0.7655;0.1715;0.063;281.82;0.0049;0.4728;0.00193;0.1387;0.0129;0.067;0.0095;0;0.0121;0.102;0.0611;1.6122;0.04680628;278;Grasslands;-0.016034494;-0.010272769;1.5608737;4.0514526;3.0415737;5.7516904;1.7432704;0.60439102;0.76274299;0.37422478;0.3698971;0.61143581;0.42028033;2.8657992;0.01036379;0.0095;0.0799;0.82
SP10;G-SP10-c;138-SP10-C;304.0818;16.8649;0.18;45.55;0.516;0.62;0.0185;7.76;0.0041;0.0263;6.00E-04;47.7455;33.07;4.58;25.16;0.7655;0.1715;0.063;70.33;0.0056;0.4585;0.00175;0.16125;0.0159;0.0316;0.0154;0;0.0081;0.1014;0.039;2.7964;0.03367804;278;Grasslands;-0.015869858;-0.013477387;1.17751744;4.60002496;3.85311798;6.91161284;1.64768312;0.496592073;1.38223072;0.703612726;0.684197717;0.579751312;0.38758057;5.13716638;0.01221374;0.0154;0.0475;0.82
SP10;G-SP10-d;139-SP10-D;304.0818;16.8649;0.18;45.475;0.536;0.58;0.0159;7.71;0.005;0.0207;6.00E-04;35.0169;32.57;3.61;20.26;0.7655;0.1715;0.063;31.78;0.0048;0.4485;0.00204;0.125;0.0344;0.1104;0.0118;0.001;0.0125;0.1068;0.0642;2.5727;0.04013662;278;Grasslands;-0.015297777;-0.012529779;1.22091356;4.4930502;3.65939728;6.79035914;1.55137416;0.491752668;1.53142701;0.784158776;0.755257879;0.776274371;0.517040201;4.61066033;0.010702341;0.0128;0.1448;0.82
SP10;G-SP10-e;140-SP10-E;304.0818;16.8649;0.18;48.325;0.549;0.65;0.0196;7.66;0.0069;0.0232;6.00E-04;39.9828;31.21;4.03;17.76;0.7655;0.1715;0.063;43.71;0.0068;0.4456;0.0014;0.2584;0.0178;0.0656;0.0254;0.0044;0.0161;0.112;0.0638;2.2218;0.04756858;278;Grasslands;-0.01464995;-0.012618022;1.16103383;4.31184515;3.66076475;6.68216122;1.5366349;0.467145651;1.92473305;1.01041486;0.991053521;1.00446069;0.662442096;4.45963048;0.015260323;0.0298;0.0834;0.82
SP11;G-SP11-a;141-SP11-A;550.3082;14.6869;0.4;23.45;0.859;5.14;0.0842;7.28;0.035;0.0673;0.0022;30.5955;38.22;20.22;26.39;0.606;0.1935;0.2005;1455.86;0.0059;0.3981;0.00103;1.9073;0.0122;0.0356;0.0201;0;0.0248;0.2926;0.0654;1.0181;0.01394464;103;Evergreen Needleleaf Forests;-0.015080191;-0.01988874;0.758227569;6.1249157;6.3946474;11.2955944;1.50758842;0.49475411;2.99695502;1.77957589;1.774027;1.02487831;0.580149511;4.44812809;0.014820397;0.0201;0.0478;0.6
SP11;G-SP11-b;142-SP11-B;550.3082;14.6869;0.4;24.85;0.827;4.6;0.089;7.09;0.0477;0.0696;0.0017;40.7193;35.54;16.06;24.8;0.606;0.1935;0.2005;954.86;0.0063;0.491;0.00103;1.1342;0.0038;0.0186;0.0021;0;0.0021;0.0897;0.0621;1.2824;0.01144187;103;Evergreen Needleleaf Forests;-0.015439573;-0.021168765;0.729356346;6.0964136;6.69030345;13.8832463;1.52752782;0.468653708;2.1410487;1.23344578;1.22259877;1.19370392;0.578659034;3.48872252;0.012830957;0.0021;0.0224;0.6
SP11;G-SP11-c;143-SP11-C;550.3082;14.6869;0.4;25.15;0.845;3.96;0.0567;7.38;0.0252;0.0539;0.0018;30.4294;36.49;15.12;22.57;0.606;0.1935;0.2005;1614.23;0.0041;0.4658;0.00106;1.3663;0.011;0.0259;0.0097;5.00E-04;0.0092;0.0732;0.0647;0.7585;0.01398655;103;Evergreen Needleleaf Forests;-0.015843507;-0.020644275;0.767910534;5.919526278;6.38053115;13.6609971;1.517620963;0.47738126;2.49988965;1.450900013;1.437138345;1.021362628;0.582191422;4.616393863;0.008802061;0.0102;0.0369;0.6
SP11;G-SP11-d;144-SP11-D;550.3082;14.6869;0.4;24.025;0.893;8.05;0.1878;6.6;0.0683;0.096;0.0027;35.8321;178;26.98;29.2;0.606;0.1935;0.2005;472.57;0.0046;0.4875;0.00148;2.327;0.0041;0.029;0.0144;0.0013;0.0231;0.1624;0.0362;0.957;0.01924641;103;Evergreen Needleleaf Forests;-0.017299772;-0.020472382;0.845029742;5.62936224;6.04074305;14.9877236;1.50166096;0.475381661;2.11303473;1.21040539;1.17648871;0.63505828;0.460552714;6.33184036;0.009435897;0.0157;0.0331;0.6
SP11;G-SP11-e;145-SP11-E;550.3082;14.6869;0.4;24;0.879;6.09;0.1001;7.11;0.0448;0.0566;0.002;27.8719;36.05;20.58;27.76;0.606;0.1935;0.2005;641.64;0.0054;0.4838;0.00284;1.7667;0.0029;0.021;0.0037;0;0.0122;0.2261;0.0822;1.3741;0.01627383;103;Evergreen Needleleaf Forests;-0.01555449;-0.021047213;0.739028478;5.82741357;6.3964307;14.4774241;1.53370665;0.470735561;2.74852015;1.58017299;1.5754389;1.23181;0.709404427;4.19688448;0.011161637;0.0037;0.0239;0.6
SP12;G-SP12-a;146-SP12-A;590.5134;14.4181;0.43;24.25;0.867;2.13;0.0474;5.99;0.025;0.025;0.0017;15.0542;33.55;5.38;18.19;0.834;0.1235;0.0425;803.1;0.0082;0.4727;0.00551;0.8512;0.0052;0.0286;0.0049;8.00E-04;0.0285;0.2442;0.0303;1.7811;0.07314432;154;Open Shrublands;-0.015130629;-0.015136763;0.999594776;4.72353137;4.33806059;8.00267979;1.47063783;0.412683607;2.64281738;1.55746061;1.42740666;0.922441127;0.598961432;6.49427364;0.017347155;0.0057;0.0338;0.57
SP12;G-SP12-b;147-SP12-B;590.5134;14.4181;0.43;25.225;0.842;1.82;0.0449;5.79;0.0243;0.0243;0.0017;14.5389;37.18;9.21;21.41;0.834;0.1235;0.0425;610.82;0.0092;0.4716;0.00199;0.5763;0.0087;0.0578;0.015;0.0079;0.0213;0.2746;0.0356;1.6231;0.07541085;154;Open Shrublands;-0.014621449;-0.017794561;0.821680785;5.07502806;5.11516607;10.2725076;1.4528252;0.371046599;3.71776869;2.71179822;2.42468875;0.805733115;0.509423487;11.3962074;0.019508058;0.0229;0.0665;0.57
SP12;G-SP12-c;148-SP12-C;590.5134;14.4181;0.43;27.3;0.766;1.42;0.0412;5.11;0.0215;0.0215;0.0013;16.0299;40.16;8.62;19.91;0.834;0.1235;0.0425;675.27;0.008;0.4743;0.00323;0.4482;0.0118;0.0825;0.014;0.0092;0.0293;0.4111;0.0471;0.7276;0.06246736;154;Open Shrublands;-0.013835852;-0.017470993;0.791932743;4.9442019;5.00203509;11.1657404;1.47012421;0.399385654;3.65916378;2.14313372;1.91214145;0.670782963;0.339899594;14.629201;0.016866962;0.0232;0.0943;0.57
SP12;G-SP12-d;149-SP12-D;590.5134;14.4181;0.43;29.45;0.803;1.29;0.0334;5.76;0.0242;0.0242;0.0017;14.4731;39.22;10.34;17.99;0.834;0.1235;0.0425;1028.65;0.0097;0.4779;0.0027;0.6894;0.0566;0.3421;0.0234;0.0124;0.0625;0.4443;0.035;1.9589;0.07374046;154;Open Shrublands;-0.014306968;-0.018943051;0.755262086;5.49395723;5.66431173;10.5451692;1.42516878;0.398679368;3.12244745;1.86263312;1.64902462;0.569843985;0.238797204;14.296771;0.020297133;0.0358;0.3987;0.57
SP12;G-SP12-e;150-SP12-E;590.5134;14.4181;0.43;24.9;0.902;2.43;0.0528;5.56;0.0256;0.0256;0.0017;14.9942;39.85;9.68;20.8;0.834;0.1235;0.0425;885.4;0.0092;0.4716;0.00442;0.5857;0.012;0.0659;0.0147;0.0106;0.03;0.3627;0.0187;1.1529;0.07085426;154;Open Shrublands;-0.01358449;-0.017665352;0.768990601;5.11453916;5.19643558;9.39019299;1.43442622;0.399341823;2.90137524;1.72229815;1.54842656;0.589985377;0.277184927;13.1595081;0.019508058;0.0253;0.0779;0.57
